BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,301,,A5, 317 BAY 13TH STREET ,,11214,1,0,1,"1,619",928,1940, 1 , A5 ," $300,000 ",7/18/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6464,113,,A9, 287 BAY 20TH STREET ,,11214,1,0,1,"1,551","1,320",1940, 1 , A9 , $-   ,5/2/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,91,,A5, 243 BAY 23RD STREET ,,11214,1,0,1,"6,367","1,320",1945, 1 , A5 ," $850,000 ",2/12/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,14,,B1, 8645 14TH AVENUE ,,11228,2,0,2,"2,320","2,160",1930, 1 , B1 ," $637,500 ",3/27/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,14,,B1, 8645 14TH AVENUE ,,11228,2,0,2,"2,320","2,160",1930, 1 , B1 , $-   ,1/7/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,21,,B1, 8629 14TH AVENUE ,,11228,2,0,2,"2,320","2,160",1930, 1 , B1 , $-   ,3/19/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,45,,B1, 20 BAY 7TH STREET ,,11228,2,0,2,"2,320","2,160",1930, 1 , B1 , $-   ,6/14/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,52,,B1, 40 BAY 7TH STREET ,,11228,2,0,2,"2,320","2,160",1930, 1 , B1 , $-   ,12/28/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6358,62,,B1, 84 BAY 8 STREET ,,11228,2,0,2,"1,933","2,720",1930, 1 , B1 ," $1,440,000 ",9/24/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,28,,B1, 8627 15TH AVENUE ,,11228,2,0,2,"2,312","2,160",1930, 1 , B1 , $-   ,6/14/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,58,,B3, 38 BAY 10TH STREET ,,11228,2,0,2,"1,547","1,428",1930, 1 , B3 ," $995,000 ",10/5/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6361,7,,B1, 1527 BENSON AVENUE ,,11228,2,0,2,"2,500","2,200",1930, 1 , B1 , $-   ,6/11/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6361,54,,B1, 30 BAY 11TH STREET ,,11228,2,0,2,"2,320","2,160",1930, 1 , B1 ," $1,500,000 ",6/27/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6364,11,,B2, 71 BAY 13TH STREET ,,11214,2,0,2,"3,142","1,932",1925, 1 , B2 , $-   ,8/27/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6364,24,,B1, 41 BAY 13TH STREET ,,11214,2,0,2,"2,167","1,960",1899, 1 , B1 , $-   ,2/1/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6364,25,,B1, 39 BAY 13TH STREET ,,11214,2,0,2,"2,167","2,952",1899, 1 , B1 ," $1,083,000 ",8/13/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6364,29,,B1, 29 BAY 13TH ,,11214,2,0,2,"2,167","2,922",1960, 1 , B1 ," $1,380,000 ",1/28/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6364,64,,B1, 48 BAY 14 ST ,,11214,2,0,2,"2,160","3,072",1901, 1 , B1 ," $950,000 ",12/20/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6367,23,,B3, 8647 BAY 16TH STREET ,,11214,2,0,2,"1,611","1,456",1935, 1 , B3 ," $977,000 ",9/17/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6368,45,,S2, 8634 18TH AVENUE ,,11214,2,1,3,"1,933","3,000",1909, 1 , S2 , $-   ,12/20/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6369,40,,S2, 8613 18TH AVE ,,11214,2,1,3,"1,910","2,880",1927, 1 , S2 ," $1,900,000 ",9/12/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6369,42,,S2, 8609 18TH AVENUE ,,11214,2,1,3,"1,870","3,480",1924, 1 , S2 ," $2,090,000 ",9/13/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6369,72,,B1, 54 BAY 19TH STREET ,,11214,2,0,2,"1,713","2,032",1930, 1 , B1 ," $1,180,000 ",8/30/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6370,13,,B2, 97 BAY 19TH STREET ,,11214,2,0,2,"1,247","1,440",1925, 1 , B2 ," $700,000 ",1/8/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6370,64,,B2, 24 BAY 20TH STREET ,,11214,2,0,2,"2,417","1,584",1930, 1 , B2 ," $980,000 ",8/8/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6370,73,,B3, 44 BAY 20TH STREET ,,11214,2,0,2,"1,933","1,606",1925, 1 , B3 ," $990,000 ",5/10/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6371,62,,B3, 8626 19TH AVENUE ,,11214,2,0,2,"3,867","1,860",1930, 1 , B3 , $-   ,7/26/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6372,1,,B3, 104 BAY 22ND STREET ,,11214,2,0,2,"1,326","2,062",1940, 1 , B3 , $-   ,9/7/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6372,31,,B3, 8647 19TH AVENUE ,,11214,2,0,2,"2,417","2,034",1930, 1 , B3 ," $937,206 ",10/4/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6377,10,,B3, 69 BAY 26TH STREET ,,11214,2,0,2,"3,867","2,408",1901, 1 , B3 , $-   ,6/15/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6378,15,,B9, 8667 21ST AVENUE ,,11214,2,0,2,"1,933","2,100",1960, 1 , B9 , $-   ,3/8/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6391,9,,B1, 8765 14TH AVENUE ,,11228,2,0,2,"1,701","2,025",1950, 1 , B1 ," $990,000 ",8/17/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6392,52,,B1, 108 BAY 8TH ST ,,11228,2,0,2,"2,248","2,970",1930, 1 , B1 ," $310,000 ",11/30/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6392,52,,B1, 108 BAY 8TH STREET ,,11228,2,0,2,"2,248","2,970",1930, 1 , B1 ," $110,000 ",11/16/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,69,,B3, 8746 15TH AVENUE ,,11228,2,0,2,"1,933","1,480",1920, 1 , B3 ," $870,000 ",9/6/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,73,,B1, 8756 15TH AVENUE ,,11228,2,0,2,"1,933","2,347",1940, 1 , B1 , $-   ,2/8/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6394,2,,B3, 166 BAY 10TH STREET ,,11228,2,0,2,"1,932","1,836",1940, 1 , B3 , $-   ,9/30/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6394,49,,B3, 102 BAY 10 ,,11228,2,0,2,"2,707","1,867",1920, 1 , B3 ," $990,000 ",10/12/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,37,,B3, 95 BAY 10TH STREET ,,11228,2,0,2,"3,253","2,660",1925, 1 , B3 , $-   ,5/2/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,63,,B9, 134 BAY 11TH STREET ,,11228,2,0,2,"1,925","2,018",1955, 1 , B9 ," $1,250,000 ",12/6/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,62,,B9, 8732 16TH AVENUE ,,11214,2,0,2,"1,933","2,160",1960, 1 , B9 , $-   ,5/3/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,167,,B9, 8744 16TH AVENUE ,,11214,2,0,2,"1,933","2,160",1960, 1 , B9 ," $1,255,000 ",6/27/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,133,,B1, 103 BAY 13TH STREET ,,11214,2,0,2,"2,167","2,953",1960, 1 , B1 ," $1,300,000 ",4/18/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,134,,B1, 101 BAY 13TH STREET ,,11214,2,0,2,"2,167","2,953",1960, 1 , B1 , $-   ,9/6/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6399,9,,S2, 1649 BATH AVENUE ,,11214,2,1,3,"1,283","2,520",1930, 1 , S2 ," $1,100,000 ",7/12/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6399,23,,B2, 125 BAY 14TH STREET ,,11214,2,0,2,"2,167","2,268",1925, 1 , B2 ," $800,000 ",5/23/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,2,6406,23,,C1, 1900 BENSON AVENUE ,,11214,18,0,18,"13,806","21,350",2018, 1 , B9 , $-   ,10/21/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6406,115,,C0, 8721 19TH AVENUE ,,11214,3,0,3,"1,951","3,074",2018, 1 , B2 , $-   ,10/21/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6409,9,,B1, 8737 20TH AVENUE ,,11214,2,0,2,"1,933","2,125",1950, 1 , B1 , $-   ,12/14/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6409,25,,B3, 8699 20TH AVENUE ,,11214,2,0,2,"1,740","1,979",1910, 1 , B3 ," $850,000 ",6/22/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6409,31,,B3, 86 BAY 25TH STREET ,,11214,2,0,2,"1,440","1,505",1915, 1 , B3 , $-   ,8/9/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6410,16,,B2, 137 BAY 25TH STREET ,,11214,2,0,2,"2,900","2,253",1915, 1 , B2 , $-   ,10/19/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6410,34,,B3, 91 BAY 25TH STREET ,,11214,2,0,2,"2,900","2,080",1925, 1 , B3 , $-   ,7/18/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6412,106,,B2, 2111 BATH AVENUE ,,11214,2,0,2,874,"1,462",1930, 1 , B2 ," $975,000 ",5/30/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,25,,B9, 8807 14TH AVENUE ,,11228,2,0,2,"2,425","1,802",1935, 1 , B9 ," $970,000 ",12/26/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,54,,B2, 190 BAY 7TH STREET ,,11228,2,0,2,"1,933","2,048",1935, 1 , B2 , $-   ,7/13/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6426,69,,B2, 8834 15TH AVENUE ,,11228,2,0,2,"3,867","3,992",2009, 1 , B2 , $-   ,3/13/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6427,32,,B1, 8783 15TH AVENUE ,,11228,2,0,2,"1,933","1,560",1960, 1 , B1 , $-   ,12/28/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6427,39,,B1, 170 BAY 10TH STREET ,,11228,2,0,2,"2,147","1,635",1955, 1 , B1 ," $1,210,000 ",10/15/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6427,49,,B2, 190 BAY 10TH STREET ,,11228,2,0,2,"3,222","1,442",1920, 1 , B2 , $-   ,10/18/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6427,62,,B9, 224 BAY 10TH STREET ,,11228,2,0,2,"3,867","3,192",1920, 1 , B9 ," $1,295,000 ",4/11/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6429,36,,B1, 1554 BATH AVENUE ,,11228,2,0,2,"4,292","1,800",1930, 1 , B1 ," $1,200,000 ",1/22/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6429,38,,S2, 1558 BATH AVENUE ,,11228,2,1,3,"1,600","4,400",1920, 1 , S2 , $10 ,7/9/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6429,39,,S2, 1560 BATH AVENUE ,,11228,2,1,3,"1,600","4,400",1920, 1 , S2 , $10 ,7/9/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6429,64,,B1, 8820 16TH AVENUE ,,11214,2,0,2,"2,053","2,872",1960, 1 , B1 , $-   ,8/24/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6430,15,,B9, 8821 16TH AVENUE ,,11214,2,0,2,"2,120","2,620",1950, 1 , B9 ," $870,000 ",1/17/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6431,18,,B1, 215 BAY 13TH STREET ,,11214,2,0,2,"1,572","3,216",1901, 1 , B1 ," $1,100,000 ",12/14/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6434,4,,B3, 1745 CROPSEY AVENUE ,,11214,2,0,2,"1,564","1,740",1930, 1 , B3 ," $915,000 ",5/16/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6436,31,,S2, 1808 BATH AVENUE ,,11214,2,1,3,"2,002","2,885",1920, 1 , S2 ," $1,400,000 ",12/6/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6440,37,,S2, 1948 BATH AVENUE ,,11214,2,1,3,"2,033","2,888",1910, 1 , S2 , $-   ,12/28/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6440,49,,B1, 204 BAY 23RD STREET ,,11214,2,0,2,"1,953","3,240",1901, 1 , B1 , $-   ,8/27/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6441,45,,S2, 8782 20TH AVENUE ,,11214,2,1,3,"2,660","3,118",1960, 1 , S2 ," $1,700,000 ",4/23/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6445,24,,B1, 8779 21 AVENUE ,,11214,2,0,2,"5,800","3,342",1910, 1 , B1 ," $1,855,000 ",8/8/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6445,38,,B3, 178 BAY 28TH STREET ,,11214,2,0,2,"1,933","2,640",1910, 1 , B3 , $-   ,1/10/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6447,44,,B3, 8800 BAY PARKWAY ,,11214,2,0,2,"4,833","3,000",1920, 1 , B3 ," $3,500,000 ",5/22/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,146,,B1, 308 BAY 11TH STREET ,,11228,2,0,2,"1,885","1,729",1955, 1 , B1 ," $998,000 ",8/9/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,210,,B9, 8862 16TH AVENUE ,,11214,2,0,2,"1,584",992,1950, 1 , B9 ," $755,000 ",2/22/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6461,22,,B1, 242 BAY 14TH STREET ,,11214,2,0,2,"1,746","1,890",1940, 1 , B1 ," $983,000 ",4/16/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6461,257,,B1, 300 BAY 13TH STREET ,,11214,2,0,2,"1,649",928,1945, 1 , B1 , $10 ,3/30/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6461,329,,B3, 334 BAY 13TH STREET ,,11214,2,0,2,"2,023","1,240",1945, 1 , B3 , $-   ,5/23/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6462,7,,B9, 8863 17 AVENUE ,,11214,2,0,2,"1,920","2,280",1960, 1 , B9 , $-   ,6/12/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6463,54,,B1, 8842 18TH AVENUE ,,11214,2,0,2,"1,818","1,320",1950, 1 , B1 , $-   ,4/13/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6463,71,,B1, 88-82 18TH AVENUE ,,11214,2,0,2,"1,658","1,320",1950, 1 , B1 , $-   ,7/16/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6463,74,,B1, 8888 18TH AVENUE ,,11214,2,0,2,"1,657","1,320",1950, 1 , B1 ," $995,000 ",8/14/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6463,81,,B1, 8904 18TH AVENUE ,,11214,2,0,2,"1,763","1,320",1950, 1 , B1 ," $860,000 ",8/31/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6463,118,,B1, 8871 18TH AVENUE ,,11214,2,0,2,"1,810","1,320",1950, 1 , B1 ," $975,000 ",6/6/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6464,37,,B3, 252 BAY 20TH STREET ,,11214,2,0,2,"2,200","1,554",1940, 1 , B3 ," $917,000 ",7/27/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6464,44,,B3, 268 BAY 20TH STREET ,,11214,2,0,2,"1,800","1,485",1940, 1 , B3 , $-   ,5/8/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6464,57,,B1, 296 BAY 20TH STREET ,,11214,2,0,2,"2,292","1,863",1940, 1 , B1 ," $970,000 ",9/12/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6464,66,,B1, 316 BAY 20TH STREET ,,11214,2,0,2,"2,200","1,863",1940, 1 , B1 ," $980,000 ",11/20/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6464,176,,B3, 8914 19TH AVENUE ,,11214,2,0,2,"2,127","1,610",1940, 1 , B3 , $-   ,11/6/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6465,6,,B9, 240 BAY 22ND STREET ,,11214,2,0,2,"2,127","1,710",1940, 1 , B9 ," $998,000 ",4/24/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6465,80,,B3, 8873 19TH AVENUE ,,11214,2,0,2,"1,547","1,320",1940, 1 , B3 ," $790,000 ",10/31/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6466,55,,B9, 1947 20TH DRIVE ,,11214,2,0,2,"1,978","1,673",1945, 1 , B9 ," $995,000 ",9/20/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6466,61,,B9, 261 BAY 22ND STREET ,,11214,2,0,2,"2,253","1,673",1945, 1 , B9 ," $950,000 ",7/27/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6466,63,,B9, 255 BAY 22ND STREET ,,11214,2,0,2,"2,182","1,673",1945, 1 , B9 ," $875,000 ",1/17/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6466,71,,B3, 233 BAY 22ND STREET ,,11214,2,0,2,"2,178","1,557",1945, 1 , B3 ," $940,000 ",5/24/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6468,11,,B9, 8904 20TH AVENUE ,,11214,2,0,2,"1,980","1,993",1945, 1 , B9 ," $637,500 ",10/26/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6468,49,,B9, 1389 SHORE PARKWAY ,,11214,2,0,2,"2,090","1,993",1945, 1 , B9 ," $865,551 ",2/22/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6485,82,,B1, 1117 SHORE PARKWAY ,,11228,2,0,2,"2,063","2,024",1899, 1 , B1 ," $1,240,000 ",9/13/2018
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6357,17,,C0, 8639 14TH AVENUE ,,11228,3,0,3,"2,320","2,160",1930, 1 , C0 ," $1,300,000 ",8/15/2018
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6362,57,,C0, 8634 16TH AVENUE ,,11214,3,0,3,"2,272","3,420",1935, 1 , C0 , $-   ,5/1/2018
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6372,80,,C0, 70 BAY 22ND STREET ,,11214,3,0,3,"4,947","3,248",1930, 1 , C0 ," $2,050,000 ",1/3/2019
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6375,20,,C0, 8637 20TH AVENUE ,,11214,3,0,3,"1,933","2,411",1930, 1 , C0 , $-   ,3/16/2019
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6375,20,,C0, 8637 20TH AVENUE ,,11214,3,0,3,"1,933","2,411",1930, 1 , C0 , $-   ,3/9/2019
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6375,59,,C0, 54 BAY 25TH STREET ,,11214,3,0,3,"2,900","3,216",1899, 1 , C0 , $-   ,3/6/2019
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6377,34,,C0, 15 BAY 26TH STREET ,,11214,3,0,3,"3,867","2,284",1901, 1 , C0 , $-   ,2/20/2019
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6378,16,,C0, 8665 21ST AVENUE ,,11214,3,0,3,"2,900","3,696",1968, 1 , C0 , $-   ,6/11/2018
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6378,35,,C0, 8615 21ST AVENUE ,,11214,3,0,3,"2,030","3,160",1960, 1 , C0 , $-   ,8/31/2018
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6397,10,,C0, 8763 16TH AVENUE ,,11214,3,0,3,"1,000","2,662",1925, 1 , C0 , $-   ,4/16/2019
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6398,19,,C0, 139 BAY 13TH STREET ,,11214,3,0,3,"3,250","3,327",1965, 1 , C0 ," $1,750,000 ",7/16/2018
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6398,150,,C0, 110 BAY 14TH STREET ,,11214,3,0,3,"3,142","2,873",1960, 1 , C0 , $-   ,10/25/2018
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6398,150,,C0, 110 BAY 14TH STREET ,,11214,3,0,3,"3,142","2,873",1960, 1 , C0 , $-   ,10/25/2018
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6400,3,,C0, 1715 BATH AVENUE ,,11214,3,0,3,"3,725","3,060",2004, 1 , C0 , $-   ,11/29/2018
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6400,61,,C0, 8691 17TH AVENUE ,,11214,3,0,3,"3,770","2,592",1905, 1 , C0 , $-   ,6/20/2018
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6402,15,,C0, 141 BAY 17TH STREET ,,11214,3,0,3,"1,936","3,120",1997, 1 , C0 , $-   ,5/16/2018
